POINTID,GRID_CODE,seg_ID,seg_num,acres
"293","312",metw_312,"10312",5846.53803605000
"295","299",metw_299,"10299",2331.80993221000
"297","301",metw_301,"10301",3034.35524226000
"300","303",metw_303,"10303",2261.75555657000
"307","315",metw_315,"10315",2690.08802480000
"309","318",metw_318,"10318",3993.09941182000
"310","319",metw_319,"10319",44952.89207520000
"316","324",metw_324,"10324",4375.39614749000
"317","329",metw_329,"10329",5392.18537115000
"322","328",metw_328,"10328",8124.30602134000
"328","330",metw_330,"10330",3466.69081768000
"329","352",metw_352,"10352",5166.00981549000
"331","334",metw_334,"10334",2017.56601860000
"333","336",metw_336,"10336",3728.89433795000
"335","339",metw_339,"10339",21600.76634200000
"340","346",metw_346,"10346",49620.51504680000
"346","351",metw_351,"10351",2646.05384583000
"347","353",metw_353,"10353",2768.14861481000
"352","395",metw_395,"10395",4785.71463341000
"355","362",metw_362,"10362",50132.91276580000
"359","366",metw_366,"10366",4681.63384674000
"364","372",metw_372,"10372",4133.20816311000
"367","424",metw_424,"10424",2301.78662837000
"370","371",metw_371,"10371",8554.64004316000
"371","379",metw_379,"10379",4393.41012980000
"374","375",metw_375,"10375",11170.67058510000
"375","377",metw_377,"10377",9543.40751657000
"376","378",metw_378,"10378",9057.02999423000
"378","380",metw_380,"10380",3895.02328591000
"379","381",metw_381,"10381",3366.61313818000
"383","388",metw_388,"10388",4861.77366983000
"385","392",metw_392,"10392",9149.10145936000
"386","394",metw_394,"10394",50507.20328710000
"393","399",metw_399,"10399",3070.38320688000
"400","413",metw_413,"10413",2700.09579275000
"401","407",metw_407,"10407",22189.22309750000
"406","411",metw_411,"10411",4883.79075932000
"408","408",metw_408,"10408",11410.85701590000
"412","417",metw_417,"10417",5338.14342422000
"414","469",metw_469,"10469",6577.10509636000
"415","421",metw_421,"10421",10416.08488180000
"420","426",metw_426,"10426",6102.73689556000
"425","432",metw_432,"10432",33998.38927780000
"434","446",metw_446,"10446",12125.41164750000
"442","449",metw_449,"10449",6555.08800687000
"448","460",metw_460,"10460",6961.40338562000
"452","463",metw_463,"10463",52304.59841080000
"453","464",metw_464,"10464",3782.93628488000
"457","466",metw_466,"10466",12847.97249350000
"458","465",metw_465,"10465",7529.84460514000
"461","470",metw_470,"10470",52344.62948260000
"463","472",metw_472,"10472",34630.88021220000
"464","468",metw_468,"10468",2848.21075840000
"466","522",metw_522,"10522",2876.23250866000
"467","477",metw_477,"10477",52945.09555960000
"469","479",metw_479,"10479",13154.21019270000
"471","481",metw_481,"10481",13168.22106780000
"475","488",metw_488,"10488",35141.27637760000
"476","489",metw_489,"10489",14687.40024260000
"484","503",metw_503,"10503",11572.98285670000
"497","512",metw_512,"10512",16140.52814880000
"501","518",metw_518,"10518",53241.32549090000
"505","532",metw_532,"10532",35561.60263150000
"509","525",metw_525,"10525",35677.69273970000
"510","527",metw_527,"10527",2884.23872302000
"513","529",metw_529,"10529",16626.90567120000
"515","542",metw_542,"10542",2692.08957839000
"518","537",metw_537,"10537",16865.09054840000
"523","541",metw_541,"10541",36134.04695820000
"527","546",metw_546,"10546",4107.18796644000
"528","547",metw_547,"10547",2319.80061068000
"532","553",metw_553,"10553",14082.93105840000
"535","555",metw_555,"10555",36168.07336920000
"547","563",metw_563,"10563",14331.12370360000
"549","568",metw_568,"10568",53633.62999450000
"550","570",metw_570,"10570",12075.37280780000
"553","569",metw_569,"10569",15375.93467750000
"554","588",metw_588,"10588",3290.55410177000
"556","574",metw_574,"10574",36458.29863970000
"564","583",metw_583,"10583",4543.52664904000
"566","586",metw_586,"10586",14995.63949540000
"568","589",metw_589,"10589",2465.91402274000
"576","597",metw_597,"10597",36958.68703720000
"577","599",metw_599,"10599",15333.90205210000
"587","607",metw_607,"10607",17707.74460970000
"589","609",metw_609,"10609",15474.01080340000
"592","617",metw_617,"10617",2155.67321631000
"595","619",metw_619,"10619",70832.97999240000
"597","632",metw_632,"10632",4947.84047419000
"601","621",metw_621,"10621",19088.81658670000
"604","624",metw_624,"10624",2968.30397380000
"608","630",metw_630,"10630",5135.98651164000
"613","635",metw_635,"10635",76245.18089950000
"615","636",metw_636,"10636",4529.51577391000
"618","639",metw_639,"10639",38133.59899450000
"620","674",metw_674,"10674",4099.18175208000
"632","655",metw_655,"10655",5460.23819320000
"633","657",metw_657,"10657",21182.44164170000
"636","660",metw_660,"10660",2746.13152532000
"637","661",metw_661,"10661",3432.66440665000
"645","669",metw_669,"10669",77065.81787129999
"648","671",metw_671,"10671",2988.31950970000
"653","677",metw_677,"10677",3566.76849717000
"654","678",metw_678,"10678",5708.43083835000
"658","683",metw_683,"10683",78222.71584629999
"660","688",metw_688,"10688",3804.95337437000
"662","689",metw_689,"10689",39868.94595690000
"667","695",metw_695,"10695",4165.23302055000
"669","718",metw_718,"10718",2822.19056174000
"676","702",metw_702,"10702",78593.00326040000
"681","698",metw_698,"10698",4389.40702262000
"682","705",metw_705,"10705",4955.84668855000
"685","710",metw_710,"10710",79163.44603350000
"689","712",metw_712,"10712",7531.84615873000
"691","708",metw_708,"10708",79539.73810839999
"695","715",metw_715,"10715",17155.31581890000
"696","720",metw_720,"10720",79863.98979000001
"700","723",metw_723,"10723",22195.22775820000
"703","829",metw_829,"10829",2606.02277403000
"705","727",metw_727,"10727",4875.78454496000
"710","732",metw_732,"10732",82620.12908319999
"715","740",metw_740,"10740",5073.93835036000
"720","747",metw_747,"10747",5404.19469269000
"735","763",metw_763,"10763",41390.12668520000
"736","759",metw_759,"10759",17543.61721530000
"737","760",metw_760,"10760",4159.22835978000
"739","765",metw_765,"10765",7908.13823363000
"741","766",metw_766,"10766",83398.73342970001
"743","770",metw_770,"10770",22709.62703080000
"745","773",metw_773,"10773",85164.10369600001
"748","785",metw_785,"10785",3438.66906742000
"749","778",metw_778,"10778",3913.03726822000
"750","772",metw_772,"10772",85312.21866160000
"752","781",metw_781,"10781",41630.31311600000
"753","782",metw_782,"10782",9227.16204937000
"756","776",metw_776,"10776",2549.97927351000
"759","787",metw_787,"10787",85650.48121830000
"762","783",metw_783,"10783",2009.55980424000
"763","788",metw_788,"10788",21744.87820050000
"765","793",metw_793,"10793",5856.54580400000
"766","794",metw_794,"10794",2716.10822147000
"772","800",metw_800,"10800",107805.67790500000
"778","805",metw_805,"10805",6364.94041583000
"781","807",metw_807,"10807",51069.63984590000
"782","808",metw_808,"10808",27267.16455500000
"787","816",metw_816,"10816",3162.45467202000
"790","819",metw_819,"10819",108021.84569200000
"793","822",metw_822,"10822",6184.80059274000
"795","824",metw_824,"10824",6609.12995380000
"797","847",metw_847,"10847",6028.67941273000
"800","831",metw_831,"10831",51602.05310080000
"801","833",metw_833,"10833",108384.12689200000
"804","836",metw_836,"10836",3528.73897897000
"810","834",metw_834,"10834",12711.86684940000
"812","843",metw_843,"10843",108622.31176900001
"817","848",metw_848,"10848",12958.05794090000
"822","868",metw_868,"10868",5053.92281446000
"832","861",metw_861,"10861",7007.43911818000
"833","863",metw_863,"10863",13216.25835400000
"839","880",metw_880,"10880",52128.46169490000
"840","874",metw_874,"10874",108876.50907499999
"844","879",metw_879,"10879",52466.72425160000
"848","918",metw_918,"10918",3846.98599976000
"858","890",metw_890,"10890",13614.56751840000
"860","891",metw_891,"10891",8474.57789957000
"865","898",metw_898,"10898",13834.73841330000
"874","905",metw_905,"10905",14883.55249440000
"876","907",metw_907,"10907",8766.80472369000
"878","910",metw_910,"10910",52690.89825370000
"879","912",metw_912,"10912",28400.04388690000
"883","935",metw_935,"10935",5628.36869475000
"884","920",metw_920,"10920",15095.71717490000
"886","922",metw_922,"10922",8962.95697550000
"888","925",metw_925,"10925",4683.63540033000
"889","915",metw_915,"10915",2291.77886042000
"890","926",metw_926,"10926",2600.01811326000
"897","934",metw_934,"10934",4735.67579367000
"898","928",metw_928,"10928",4957.84824214000
"900","955",metw_955,"10955",2495.93732659000
"901","937",metw_937,"10937",9339.24905040000
"902","931",metw_931,"10931",3116.41893945000
"903","932",metw_932,"10932",4091.17553772000
"906","941",metw_941,"10941",15586.09780440000
"909","943",metw_943,"10943",2411.87207581000
"911","944",metw_944,"10944",5121.97563651000
"920","951",metw_951,"10951",109981.36665700001
"922","952",metw_952,"10952",2389.85498632000
"925","957",metw_957,"10957",34188.53686880000
"926","958",metw_958,"10958",110541.80166200000
"929","963",metw_963,"10963",15846.29977110000
"934","968",metw_968,"10968",144780.37737100001
"938","972",metw_972,"10972",9829.62967992000
"941","976",metw_976,"10976",3130.42981458000
"942","978",metw_978,"10978",16238.60427470000
"945","974",metw_974,"10974",57144.35499120000
"946","975",metw_975,"10975",53261.34102680000
"949","982",metw_982,"10982",57372.53210040000
"950","993",metw_993,"10993",3840.98133899000
"953","986",metw_986,"10986",10065.81300350000
"954","988",metw_988,"10988",3132.43136817000
"963","999",metw_999,"10999",10348.03205970000
"965","1001",metw_1001,"11001",5760.47123169000
"966","1004",metw_1004,"11004",145206.70828500000
"968","1006",metw_1006,"11006",3686.86171257000
"969","1008",metw_1008,"11008",16674.94295730000
"971","1010",metw_1010,"11010",57764.83660410000
"979","1073",metw_1073,"11073",3276.54322664000
"999","1030",metw_1030,"11030",3310.56963767000
"1005","1041",metw_1041,"11041",18698.51363670000
"1009","1047",metw_1047,"11047",145635.04075399999
"1012","1051",metw_1051,"11051",4091.17553772000
"1013","1052",metw_1052,"11052",3788.94094565000
"1019","1057",metw_1057,"11057",5666.39821296000
"1021","1060",metw_1060,"11060",61343.61442280000
"1022","1081",metw_1081,"11081",5394.18692474000
"1024","1065",metw_1065,"11065",19345.01544620000
"1032","1071",metw_1071,"11071",61469.71229890000
"1033","1076",metw_1076,"11076",148142.98740200000
"1035","1079",metw_1079,"11079",11522.94401700000
"1041","1080",metw_1080,"11080",11248.73117510000
"1042","1088",metw_1088,"11088",5011.89018907000
"1045","1102",metw_1102,"11102",2838.20299046000
"1050","1092",metw_1092,"11092",10928.48260080000
"1051","1093",metw_1093,"11093",61747.92824790000
"1052","1094",metw_1094,"11094",4169.23612773000
"1059","1100",metw_1100,"11100",19693.28577090000
"1061","1105",metw_1105,"11105",8036.23766338000
"1064","1109",metw_1109,"11109",4537.52198827000
"1070","1113",metw_1113,"11113",4349.37595082000
"1073","1116",metw_1116,"11116",19823.38675420000
"1075","1146",metw_1146,"11146",2596.01500608000
"1078","1124",metw_1124,"11124",4045.13980516000
"1083","1123",metw_1123,"11123",148435.21422600001
"1085","1128",metw_1128,"11128",72772.48542100000
"1091","1134",metw_1134,"11134",11989.30600340000
"1092","1145",metw_1145,"11145",3172.46243997000
"1094","1137",metw_1137,"11137",20161.64931090000
"1095","1166",metw_1166,"11166",2247.74468144000
"1099","1141",metw_1141,"11141",5896.57687580000
"1105","1150",metw_1150,"11150",8816.84356344000
"1106","1144",metw_1144,"11144",13470.45565990000
"1114","1189",metw_1189,"11189",2904.25425892000
"1118","1159",metw_1159,"11159",2295.78196760000
"1119","1160",metw_1160,"11160",75344.48178400000
"1126","1172",metw_1172,"11172",9397.29410451000
"1128","1175",metw_1175,"11175",14030.89066510000
"1129","1176",metw_1176,"11176",13762.68248400000
"1130","1165",metw_1165,"11165",75560.64957170001
"1133","1182",metw_1182,"11182",148953.61660600000
"1137","1187",metw_1187,"11187",20603.99265430000
"1147","1190",metw_1190,"11190",6228.83477172000
"1153","1209",metw_1209,"11209",2375.84411119000
"1155","1200",metw_1200,"11200",76279.20731050000
"1160","1206",metw_1206,"11206",3442.67217460000
"1164","1211",metw_1211,"11211",6467.01964892000
"1167","1213",metw_1213,"11213",150296.65906400001
"1168","1214",metw_1214,"11214",2161.67787707000
"1169","1215",metw_1215,"11215",15055.68610310000
"1176","1222",metw_1222,"11222",10041.79436040000
"1177","1223",metw_1223,"11223",150562.86569199999
"1180","1228",metw_1228,"11228",21214.46649920000
"1184","1232",metw_1232,"11232",76645.49161740000
"1185","1234",metw_1234,"11234",152728.54667600000
"1192","1240",metw_1240,"11240",2105.63437656000
"1194","1242",metw_1242,"11242",17339.45874920000
"1199","1249",metw_1249,"11249",10348.03205970000
"1200","1250",metw_1250,"11250",6991.42668946000
"1202","1317",metw_1317,"11317",2513.95130889000
"1207","1255",metw_1255,"11255",4313.34798620000
"1212","1258",metw_1258,"11258",21744.87820050000
"1216","1262",metw_1262,"11262",20151.64154300000
"1220","1267",metw_1267,"11267",77740.34143109999
"1223","1272",metw_1272,"11272",7341.69856769000
"1224","1273",metw_1273,"11273",153138.86516200000
"1227","1277",metw_1277,"11277",20565.96313610000
"1231","1281",metw_1281,"11281",5141.99117241000
"1235","1284",metw_1284,"11284",10788.37384950000
"1238","1287",metw_1287,"11287",6026.67785914000
"1240","1291",metw_1291,"11291",22465.43749290000
"1245","1301",metw_1301,"11301",7924.15066235000
"1247","1294",metw_1294,"11294",6717.21384765000
"1248","1304",metw_1304,"11304",78104.62418450000
"1252","1306",metw_1306,"11306",153919.47106200000
"1253","1334",metw_1334,"11334",26348.45145720000
"1257","1303",metw_1303,"11303",23003.85540850000
"1263","1316",metw_1316,"11316",11176.67524590000
"1268","1323",metw_1323,"11323",21356.57680410000
"1269","1324",metw_1324,"11324",101178.53396900000
"1271","1326",metw_1326,"11326",2890.24338379000
"1275","1329",metw_1329,"11329",180372.00330600000
"1276","1340",metw_1340,"11340",2013.56291142000
"1282","1330",metw_1330,"11330",23628.34012860000
"1283","1339",metw_1339,"11339",180790.32800600000
"1284","1336",metw_1336,"11336",24146.74250840000
"1288","1390",metw_1390,"11390",2149.66855554000
"1293","1348",metw_1348,"11348",7647.93626695000
"1294","1349",metw_1349,"11349",3939.05746489000
"1297","1351",metw_1351,"11351",101805.02024200000
"1299","1355",metw_1355,"11355",8628.69752599000
"1305","1360",metw_1360,"11360",183142.15347399999
"1307","1364",metw_1364,"11364",8260.41166545000
"1309","1366",metw_1366,"11366",101949.13210100000
"1311","1370",metw_1370,"11370",10566.20140100000
"1316","1378",metw_1378,"11378",4187.25011004000
"1326","1379",metw_1379,"11379",10810.39093900000
"1334","1393",metw_1393,"11393",102235.35426399999
"1335","1395",metw_1395,"11395",184020.83549999999
"1343","1399",metw_1399,"11399",10538.17965070000
"1346","1403",metw_1403,"11403",102515.57176700000
"1348","1408",metw_1408,"11408",184164.94735900001
"1354","1412",metw_1412,"11412",2099.62971579000
"1358","1415",metw_1415,"11415",11256.73738950000
"1361","1418",metw_1418,"11418",184375.11048599999
"1365","1423",metw_1423,"11423",10864.43288590000
"1368","1426",metw_1426,"11426",13470.45565990000
"1370","1428",metw_1428,"11428",184511.21612999999
"1371","1438",metw_1438,"11438",3016.34125996000
"1372","1430",metw_1430,"11430",103080.00987900000
"1373","1431",metw_1431,"11431",5804.50541066000
"1381","1441",metw_1441,"11441",12491.69595450000
"1388","1447",metw_1447,"11447",2251.74778862000
"1389","1449",metw_1449,"11449",2578.00102377000
"1391","1451",metw_1451,"11451",12916.02531550000
"1393","1448",metw_1448,"11448",3923.04503617000
"1395","1455",metw_1455,"11455",184867.49266900000
"1397","1458",metw_1458,"11458",104268.93271100000
"1406","1466",metw_1466,"11466",186959.11616999999
"1408","1470",metw_1470,"11470",3240.51526202000
"1414","1477",metw_1477,"11477",11328.79331870000
"1416","1479",metw_1479,"11479",6270.86739711000
"1420","1483",metw_1483,"11483",3494.71256794000
"1421","1484",metw_1484,"11484",6747.23715150000
"1431","1490",metw_1490,"11490",13370.37798040000
"1433","1496",metw_1496,"11496",14253.06311360000
"1436","1501",metw_1501,"11501",187405.46262100001
"1439","1502",metw_1502,"11502",7133.53699435000
"1447","1513",metw_1513,"11513",6753.24181227000
"1449","1516",metw_1516,"11516",13694.62966200000
"1451","1518",metw_1518,"11518",6535.07247097000
"1452","1508",metw_1508,"11508",6150.77418171000
"1453","1510",metw_1510,"11510",5664.39665937000
"1454","1511",metw_1511,"11511",5099.95854702000
"1456","1521",metw_1521,"11521",104875.40344900000
"1458","1523",metw_1523,"11523",14705.41422490000
"1465","1527",metw_1527,"11527",187915.85878600000
"1467","1529",metw_1529,"11529",6939.38629613000
"1470","1533",metw_1533,"11533",12101.39300440000
"1471","1534",metw_1534,"11534",105035.52773600000
"1476","1539",metw_1539,"11539",14859.53385130000
"1478","1542",metw_1542,"11542",13980.85182530000
"1481","1530",metw_1530,"11530",2149.66855554000
"1490","1551",metw_1551,"11551",14537.28372330000
"1495","1558",metw_1558,"11558",106276.49096200000
"1497","1561",metw_1561,"11561",7301.66749590000
"1498","1555",metw_1555,"11555",2678.07870326000
"1501","1566",metw_1566,"11566",7113.52145845000
"1503","1568",metw_1568,"11568",15447.99060670000
"1506","1572",metw_1572,"11572",188948.66043900000
"1510","1576",metw_1576,"11576",2642.05073865000
"1511","1577",metw_1577,"11577",14913.57579820000
"1514","1574",metw_1574,"11574",7667.95180285000
"1519","1585",metw_1585,"11585",8864.88084960000
"1522","1589",metw_1589,"11589",12565.75343730000
"1527","1593",metw_1593,"11593",189477.07058599999
"1529","1595",metw_1595,"11595",40789.66060820000
"1531","1598",metw_1598,"11598",2852.21386558000
"1532","1599",metw_1599,"11599",15924.36036110000
"1536","1632",metw_1632,"11632",40067.09976230000
"1539","1607",metw_1607,"11607",18810.60063770000
"1541","1605",metw_1605,"11605",53467.50104660000
"1545","1609",metw_1609,"11609",53605.60824430000
"1552","1622",metw_1622,"11622",189881.38441200001
"1553","1624",metw_1624,"11624",8230.38836160000
"1561","1629",metw_1629,"11629",18956.71404980000
"1564","1633",metw_1633,"11633",54348.18462610000
"1569","1640",metw_1640,"11640",2275.76643170000
"1570","1642",metw_1642,"11642",9469.35003374000
"1574","1654",metw_1654,"11654",39772.87138460000
"1579","1647",metw_1647,"11647",54620.39591430000
"1580","1648",metw_1648,"11648",106947.01141500000
"1581","1649",metw_1649,"11649",190223.65007500001
"1584","1653",metw_1653,"11653",9921.70114506000
"1586","1656",metw_1656,"11656",161581.41820399999
"1591","1672",metw_1672,"11672",37843.37372390000
"1597","1667",metw_1667,"11667",9105.06728038000
"1599","1671",metw_1671,"11671",3913.03726822000
"1602","1673",metw_1673,"11673",19302.98282080000
"1607","1675",metw_1675,"11675",161809.59531300000
"1609","1677",metw_1677,"11677",3342.59449511000
"1613","1706",metw_1706,"11706",33886.30227670000
"1618","1685",metw_1685,"11685",190477.84738100000
"1622","1684",metw_1684,"11684",20053.56541700000
"1626","1696",metw_1696,"11696",2812.18279379000
"1627","1697",metw_1697,"11697",19475.11642960000
"1629","1699",metw_1699,"11699",15942.37434340000
"1634","1723",metw_1723,"11723",7715.98908900000
"1636","1705",metw_1705,"11705",19140.85698010000
"1638","1692",metw_1692,"11692",162275.95730000001
"1639","1707",metw_1707,"11707",162422.07071199999
"1647","1703",metw_1703,"11703",9219.15583501000
"1648","1725",metw_1725,"11725",16718.97713630000
"1650","1715",metw_1715,"11715",162680.27112500000
"1654","1926",metw_1926,"11926",2377.84566478000
"1657","1714",metw_1714,"11714",20686.05635150000
"1658","1720",metw_1720,"11720",33578.06302390000
"1660","1718",metw_1718,"11718",11743.11491180000
"1662","1728",metw_1728,"11728",32753.42294490000
"1663","1731",metw_1731,"11731",163230.69836200000
"1664","1732",metw_1732,"11732",10764.35520640000
"1665","1736",metw_1736,"11736",6855.32104535000
"1666","1724",metw_1724,"11724",12279.53127390000
"1667","1737",metw_1737,"11737",16108.50329140000
"1668","1726",metw_1726,"11726",9693.52403581000
"1669","1727",metw_1727,"11727",32102.91802820000
"1672","1740",metw_1740,"11740",2890.24338379000
"1674","1743",metw_1743,"11743",2884.23872302000
"1677","1916",metw_1916,"11916",3262.53235151000
"1679","1738",metw_1738,"11738",22299.30854490000
"1684","1746",metw_1746,"11746",22737.64878110000
"1685","1747",metw_1747,"11747",191989.02034200000
"1686","1748",metw_1748,"11748",10289.98700560000
"1689","1752",metw_1752,"11752",6551.08489969000
"1690","1744",metw_1744,"11744",163468.88323899999
"1693","1756",metw_1756,"11756",16342.68506140000
"1698","1769",metw_1769,"11769",5890.57221503000
"1704","1760",metw_1760,"11760",24156.75027630000
"1706","1758",metw_1758,"11758",163911.22658300001
"1708","1766",metw_1766,"11766",3134.43292176000
"1709","1768",metw_1768,"11768",3400.63954921000
"1710","1771",metw_1771,"11771",164253.49224699999
"1712","1773",metw_1773,"11773",2596.01500608000
"1713","1774",metw_1774,"11774",11544.96110650000
"1718","1780",metw_1780,"11780",24625.11381630000
"1719","1781",metw_1781,"11781",11058.58358410000
"1721","1806",metw_1806,"11806",5328.13565627000
"1723","1785",metw_1785,"11785",14205.02582740000
"1728","1791",metw_1791,"11791",17031.21949630000
"1729","1792",metw_1792,"11792",192659.54079400000
"1732","1794",metw_1794,"11794",3913.03726822000
"1735","1799",metw_1799,"11799",166176.98524700000
"1737","1802",metw_1802,"11802",4013.11494772000
"1739","1803",metw_1803,"11803",3438.66906742000
"1744","1805",metw_1805,"11805",24921.34374760000
"1746","1800",metw_1800,"11800",166311.08933700001
"1749","1810",metw_1810,"11810",210787.61165800001
"1754","1840",metw_1840,"11840",4857.77056265000
"1756","1822",metw_1822,"11822",25191.55348230000
"1765","1827",metw_1827,"11827",11552.96732080000
"1773","1835",metw_1835,"11835",25966.15472160000
"1781","1866",metw_1866,"11866",211045.81207099999
"1783","1885",metw_1885,"11885",4269.31380722000
"1788","1853",metw_1853,"11853",26326.43436770000
"1790","1856",metw_1856,"11856",211265.98296600001
"1792","1860",metw_1860,"11860",170892.64550399999
"1793","1861",metw_1861,"11861",4041.13669798000
"1794","1862",metw_1862,"11862",14813.49811870000
"1801","1871",metw_1871,"11871",5093.95388625000
"1805","1878",metw_1878,"11878",2239.73846708000
"1812","1877",metw_1877,"11877",171324.98108000000
"1813","1888",metw_1888,"11888",18904.67365650000
"1814","1883",metw_1883,"11883",2157.67476989000
"1820","1892",metw_1892,"11892",211468.13987799999
"1822","1911",metw_1911,"11911",3056.37233175000
"1830","1906",metw_1906,"11906",5578.32985501000
"1832","1909",metw_1909,"11909",2573.99791659000
"1833","1910",metw_1910,"11910",12521.71925830000
"1835","1913",metw_1913,"11913",26844.83674750000
"1840","1920",metw_1920,"11920",212130.65411700000
"1843","1972",metw_1972,"11972",2784.16104353000
"1845","1923",metw_1923,"11923",19363.02942850000
"1848","1924",metw_1924,"11924",5892.57376862000
"1852","1929",metw_1929,"11929",173862.95103200001
"1855","1933",metw_1933,"11933",4385.40391544000
"1856","1937",metw_1937,"11937",3634.82131923000
"1861","1934",metw_1934,"11934",3824.96891027000
"1868","1938",metw_1938,"11938",3110.41427868000
"1869","1942",metw_1942,"11942",2800.17347225000
"1874","1949",metw_1949,"11949",2571.99636300000
"1878","1957",metw_1957,"11957",19661.26091340000
"1879","1952",metw_1952,"11952",28664.24896070000
"1880","1953",metw_1953,"11953",28956.47578490000
"1881","1959",metw_1959,"11959",19897.44423700000
"1888","1964",metw_1964,"11964",212903.25380199999
"1889","1966",metw_1966,"11966",15353.91758800000
"1890","1967",metw_1967,"11967",20806.14956680000
"1891","1974",metw_1974,"11974",13518.49294610000
"1892","1969",metw_1969,"11969",11244.72806800000
"1893","1970",metw_1970,"11970",11000.53853000000
"1894","1971",metw_1971,"11971",10646.26354460000
"1896","1991",metw_1991,"11991",6264.86273634000
"1897","1968",metw_1968,"11968",11639.03412520000
"1905","1977",metw_1977,"11977",175420.15972500000
"1908","1979",metw_1979,"11979",20491.90565320000
"1909","1982",metw_1982,"11982",175878.51549699999
"1911","1984",metw_1984,"11984",2966.30242021000
"1918","1992",metw_1992,"11992",213253.52568100000
"1920","1996",metw_1996,"11996",29895.20441850000
"1921","1994",metw_1994,"11994",36394.24892490000
"1922","2052",metw_2052,"12052",6046.69339504000
"1928","2008",metw_2008,"12008",36622.42603410000
"1930","2015",metw_2015,"12015",20085.59027450000
"1931","2016",metw_2016,"12016",20343.79068760000
"1932","2001",metw_2001,"12001",20998.29871150000
"1933","2017",metw_2017,"12017",21220.47116000000
"1945","2013",metw_2013,"12013",19769.34480730000
"1949","2018",metw_2018,"12018",21426.63117970000
"1951","2034",metw_2034,"12034",176366.89457300000
"1952","2035",metw_2035,"12035",3198.48263663000
"1957","2038",metw_2038,"12038",19302.98282080000
"1958","2031",metw_2031,"12031",19475.11642960000
"1959","2032",metw_2032,"12032",22241.26349080000
"1960","2090",metw_2090,"12090",51465.94745670000
"1963","2050",metw_2050,"12050",16991.18842450000
"1964","2040",metw_2040,"12040",17253.39194480000
"1966","2219",metw_2219,"12219",3052.36922457000
"1967","2042",metw_2042,"12042",228006.97719199999
"1972","2041",metw_2041,"12041",18984.73580010000
"1976","2054",metw_2054,"12054",16400.73011550000
"1981","2059",metw_2059,"12059",4301.33866466000
